"y","any-by-row","min-by-row","maj-by-row","starts-by-row","starts-by-row-adjusted","any-by-row-adjusted"
"2","0.084","0.06","0.024","0.084","inf","0.0"
"3","0.3255","0.26","0.0655","0.1145","3.8833305070375","2.1201768488746"
"4","0.766","0.6235","0.1425","0.1575","3.3206831119545","4.7039270253556"
"5","1.015","0.815","0.2","0.231","3.2183908045977","4.2507048362611"
"6","1.2705","1.0235","0.247","0.2235","3.096854648746","3.9223766530551"
"7","1.7085","1.403","0.3055","0.2755","3.6866051117356","4.5250726285209"
"8","1.9605","1.5955","0.365","0.3045","3.9512100175177","4.7178143072847"
"9","2.096","1.712","0.384","0.338","4.3016226535157","4.6757806266291"
"10","2.299","1.9005","0.3985","0.3745","4.637196631996","4.9172160049057"
"11","2.4675","2.02","0.4475","0.397","4.7839971079111","5.125"
"12","2.4545","2.01","0.4445","0.374","4.5404880417628","4.9977179370151"
"13","2.5835","2.1325","0.451","0.4165","5.0138437462381","5.1200264625272"
"14","2.613","2.1435","0.4695","0.3975","4.7679021230659","5.1600055897149"
"15","2.726","2.227","0.499","0.424","5.0632911392405","5.3019485006219"
"16","2.6595","2.169","0.4905","0.4085","4.8805256869773","5.1336434957125"
"17","2.75","2.2775","0.4725","0.4435","5.2494525655442","5.2453834258164"
"18","2.77","2.2795","0.4905","0.441","5.2325581395349","5.2888545735307"
"19","2.8175","2.2825","0.535","0.453","5.3999284777685","5.3604624801632"
"20","2.7895","2.2915","0.498","0.449","5.3843386497182","5.2887874542414"
"21","2.8","2.344","0.456","0.4355","5.1771279125059","5.3542718688435"
"22","2.897","2.4015","0.4955","0.4545","5.3879438089029","5.5639080616871"
"23","2.8515","2.3715","0.48","0.452","5.3889716840537","5.4724382511916"
"24","2.792","2.339","0.453","0.4525","5.3923613180004","5.3550173960813"
"25","2.7975","2.2985","0.499","0.465","5.4651231121819","5.3694751381215"
"26","2.8975","2.387","0.5105","0.4565","5.4608529218255","5.602350187051"
"27","2.9385","2.441","0.4975","0.444","5.3442465093885","5.6879332360452"
"28","3.0015","2.4815","0.52","0.467","5.5051279028646","5.7819094331014"
"29","3.062","2.5355","0.5265","0.484","5.7190121706251","5.8286231064888"
"30","3.1065","2.55","0.5565","0.5045","5.9884859635587","5.871336056141"
"31","3.136","2.5805","0.5555","0.494","5.8746581044119","5.9440244780418"
"32","3.2215","2.6615","0.56","0.4645","5.6248486316299","6.1695795197709"
"33","3.3175","2.729","0.5885","0.518","6.2024785966593","6.3024831716157"
"34","3.196","2.6385","0.5575","0.4975","5.8670912200012","6.1172443497382"
"35","3.1965","2.6275","0.569","0.493","5.816765972509","6.1468327952344"
"36","3.222","2.665","0.557","0.503","5.9407109956301","6.1850276381338"
"37","3.2265","2.5995","0.627","0.506","6.0202260559191","6.1734138150132"
"38","3.1635","2.611","0.5525","0.489","5.7702519322674","6.0627011832978"
"39","3.131","2.616","0.515","0.4715","5.5815329979284","6.0048770575086"
"40","3.0425","2.5015","0.541","0.453","5.431654676259","5.8026710886031"
"41","3.0635","2.5295","0.534","0.4985","5.9113008419305","5.7632678739945"
"42","2.975","2.431","0.544","0.4665","5.5565481507951","5.6451975875416"
"43","3.0035","2.5125","0.491","0.4705","5.5875541832433","5.7211907665899"
"44","2.9375","2.441","0.4965","0.4655","5.5525735074849","5.5690727223574"
"45","2.9675","2.4675","0.5","0.452","5.4219396629281","5.6847457627119"
"46","2.831","2.365","0.466","0.4505","5.331676430558","5.42428109192"
"47","2.8705","2.348","0.5225","0.4635","5.5310262529833","5.4974419879408"
"48","2.869","2.37","0.499","0.4585","5.404608946779","5.52398194193"
"49","2.8865","2.385","0.5015","0.4415","5.3269787644788","5.5909995197915"
"50","2.7295","2.272","0.4575","0.435","5.1986853899014","5.2663591085405"
"51","2.6625","2.186","0.4765","0.428","5.0314465408805","5.1533671586716"
"52","2.604","2.144","0.46","0.4285","5.1490026435953","5.0237853316091"
"53","2.6385","2.169","0.4695","0.4275","5.060668836934","5.150124618574"
"54","2.651","2.167","0.484","0.4215","4.9869853289162","5.2161808057648"
"55","2.718","2.238","0.48","0.448","5.3298435548153","5.3356525009402"
"56","2.585","2.119","0.466","0.406","4.8733645420718","5.1453399135753"
"57","2.6","2.144","0.456","0.4085","4.9707958140667","5.1635172706282"
"58","2.6","2.138","0.462","0.3955","4.8193505148358","5.2129395351037"
"59","2.633","2.177","0.456","0.415","5.0951503990178","5.3074898301029"
"60","2.419","1.9885","0.4305","0.402","4.9660284126004","4.9439909797289"
"61","2.334","1.93","0.404","0.356","4.4355843508597","4.9923020620378"
"62","2.14","1.7375","0.4025","0.321","4.0334233838035","4.7754062639469"
"63","2.117","1.7465","0.3705","0.3535","4.4826274410347","4.9155424239046"
"64","1.737","1.4045","0.3325","0.2775","3.67039216983","4.3826196624827"
"65","1.436","1.174","0.262","0.249","3.4259768849752","4.0502269082472"
"66","1.123","0.916","0.207","0.2425","3.4297432996252","3.8791964049696"
"67","0.9085","0.7285","0.18","0.168","2.9541058554598","4.544896581354"
"68","0.3765","0.308","0.0685","0.1175","3.0622882460255","2.1825229628381"
"69","0.0955","0.0895","0.006","0.0955","3.5561347979892","0.0"
